"number","datum","title","description","resultaat"
1,"2025-05-5","Starten met React","Je begint met het aanmaken van een react applicatie, deze voor het eerst draaien en de applicatie stylen.","Je kan een React applicatie maken en draaien. Je kan de applicatie aanpassen door de JSX of de CSS te veranderen. Je pusht je eerste React applicatie naar github"
2,"2025-05-12","JSX en componenten","Je leert de basis syntax van JSX en combineert het met javascript. Je gaat jouw eerste react componenten schrijven.","Je maakt je eerste component en styled deze door middel van css modules."
3,"2025-05-19","Props en Componenten","Je leert hoe je componenten dynamisch maakt met props en hoe je componenten hergebruikt.","Je maakt meerdere componenten om een top 10 lijst te bouwen. Hierbij maak je gebruik van props en css modules."
4,"2025-05-26","State en useState","Je leert hoe je component state beheert met de useState hook en hoe je interacties afhandelt","Je maakt een cookieclicker applicatie. Je zet jouw applicatie online"
5,"2025-06-2","State en fetch","Je leert GET requests te maken met de fetch API, en het resultaat bij te houden in de state","Je gaat een component maken die een Pokemon weergeeft."
6,"2025-06-9","UI en modulaire componenten","Je gaat je eigen modulaire component bouwen, en een modulair component implementeren","Je gaat een FAQ component maken en een gallery carousel implementeren"
7,"2025-06-16","Build en Deploy","Je leert hoe je jouw web applicatie online moet zetten.",""
